"Age","Gender","Education.Level","Marital.Status","Income","Credit.Score","Loan.Amount","Loan.Purpose","Employment.Status","Years.at.Current.Job","Payment.History","Debt.to.Income.Ratio","Assets.Value","Number.of.Dependents","City","State","Country","Previous.Defaults","Marital.Status.Change","Risk.Rating"
37,"Non-binary","PhD","Single",69773,664,34904,"Auto","Self-employed",12,"Excellent",0.106281463687387,152686,2,"Lake Timothy","PR","Zambia",3,0,"Medium"
64,"Non-binary","Bachelor's","Divorced",118318,702,41029,"Business","Unemployed",10,"Poor",0.228351473241855,159362,1,"West Meghanshire","KS","Oman",3,1,"Low"
55,"Female","High School","Divorced",61811,641,43859,"Auto","Self-employed",18,"Excellent",0.199707086361401,185670,2,"Aprilland","NH","Uruguay",2,0,"Low"
41,"Male","PhD","Single",94796,742,27544,"Business","Unemployed",16,"Good",0.355808375873112,129119,2,"Brittanyton","VI","Gambia",3,0,"Low"
36,"Non-binary","PhD","Single",85355,667,18834,"Auto","Employed",8,"Poor",0.198897711108433,159362,4,"Michaelborough","CO","Iran",2,2,"Medium"
41,"Male","PhD","Married",93133,791,14052,"Business","Employed",13,"Poor",0.282850057062695,82774,0,"Lewisland","AZ","South Georgia and the South Sandwich Islands",1,0,"Low"
64,"Female","PhD","Married",69773,749,38635,"Personal","Self-employed",16,"Fair",0.320230266469369,159362,3,"West James","OR","Palau",0,1,"Low"
64,"Male","PhD","Married",69773,636,21086,"Auto","Employed",13,"Fair",0.460985402435174,261445,2,"South Ryan","IA","Tokelau",4,2,"Low"
34,"Male","PhD","Married",115201,699,21315,"Personal","Unemployed",10,"Poor",0.24394266358661,81794,1,"Marchaven","VA","Saint Pierre and Miquelon",1,2,"Medium"
49,"Non-binary","High School","Divorced",109882,699,35938,"Home","Unemployed",3,"Excellent",0.489437674590907,237388,2,"Pattersonshire","GA","Hungary",2,0,"Low"
48,"Non-binary","PhD","Married",46408,632,48403,"Personal","Unemployed",16,"Excellent",0.185325306417697,93647,3,"South Jason","KS","Guyana",1,0,"Low"
69,"Non-binary","PhD","Single",38065,699,15818,"Business","Self-employed",8,"Poor",0.391979313072454,107451,3,"South Peterbury","ID","Cote d'Ivoire",0,1,"Low"
57,"Female","Bachelor's","Widowed",69773,673,16398,"Business","Self-employed",8,"Fair",0.483784345001698,159119,1,"West Michael","TN","Nauru",1,0,"Low"
46,"Non-binary","High School","Widowed",69773,637,6382,"Auto","Self-employed",2,"Good",0.544390400118726,156010,4,"Kevinbury","NM","Guam",2,1,"Low"
49,"Male","Bachelor's","Divorced",117392,685,27544,"Business","Self-employed",12,"Good",0.470600519291913,261093,3,"North Michael","HI","Burundi",1,0,"Medium"
57,"Female","Master's","Single",54754,604,11947,"Home","Self-employed",13,"Good",0.287418593560374,282006,2,"Berryland","VT","Thailand",2,0,"High"
41,"Non-binary","High School","Divorced",109379,606,5252,"Home","Self-employed",16,"Poor",0.454458036581626,159362,2,"South Josefurt","OR","Belize",2,2,"Low"
47,"Female","High School","Single",33065,783,6895,"Auto","Self-employed",2,"Fair",0.116680915530773,158428,3,"West Sharon","AL","Seychelles",2,0,"Low"
64,"Male","Master's","Single",69773,699,27544,"Personal","Unemployed",16,"Excellent",0.45848135096737,108664,2,"Lake Joshuahaven","MO","Sao Tome and Principe",2,1,"Low"
35,"Female","High School","Single",101496,715,16971,"Home","Employed",17,"Fair",0.533787309523947,271400,1,"Michaelburgh","TX","Anguilla",2,0,"Medium"
35,"Female","PhD","Divorced",42787,699,14949,"Home","Employed",19,"Excellent",0.224991082958487,227655,4,"West Donna","WY","Svalbard & Jan Mayen Islands",2,2,"Low"
18,"Female","Master's","Divorced",69773,748,14522,"Home","Unemployed",14,"Good",0.562809957836106,176629,2,"Campbellfort","AL","China",1,2,"Low"
21,"Male","Bachelor's","Widowed",73952,631,49525,"Auto","Unemployed",3,"Excellent",0.143644090621216,32912,0,"West Denisebury","KY","French Guiana",1,2,"Low"
67,"Non-binary","Master's","Divorced",54247,699,5011,"Personal","Unemployed",7,"Excellent",0.344651883288014,239162,3,"Mataside","AZ","Iceland",0,0,"Low"
49,"Male","Bachelor's","Married",85689,699,27544,"Personal","Unemployed",2,"Excellent",0.336009426789292,232433,0,"Camposland","WA","Niue",0,0,"Medium"
30,"Female","Bachelor's","Divorced",59593,691,27544,"Business","Unemployed",8,"Good",0.424079452931972,279118,3,"Mckeeborough","RI","Martinique",2,0,"Low"
28,"Non-binary","Bachelor's","Married",69237,699,46898,"Personal","Employed",12,"Excellent",0.516255497177839,89494,1,"Conniehaven","VT","Tajikistan",3,2,"Low"
65,"Male","PhD","Widowed",77146,796,38386,"Business","Self-employed",17,"Fair",0.323186386354541,262145,0,"Johnsonside","LA","Vietnam",4,1,"Medium"
68,"Female","PhD","Single",59300,699,34783,"Auto","Employed",3,"Excellent",0.235760539366425,270400,2,"West Patrick","WY","Bouvet Island (Bouvetoya)",0,2,"Low"
59,"Non-binary","Bachelor's","Married",82233,699,45345,"Personal","Self-employed",9,"Poor",0.471530628885449,208180,1,"South Heather","DE","Kuwait",4,1,"Low"
39,"Non-binary","PhD","Single",93509,703,16651,"Auto","Unemployed",5,"Fair",0.528582348302681,270036,0,"North Joshuaborough","MI","Falkland Islands (Malvinas)",0,0,"Medium"
64,"Non-binary","Bachelor's","Married",69773,763,27544,"Business","Employed",6,"Fair",0.302038878288998,272412,2,"Williamston","WV","British Indian Ocean Territory (Chagos Archipelago)",1,0,"Low"
69,"Non-binary","High School","Divorced",69773,721,39416,"Personal","Unemployed",4,"Excellent",0.418045622488791,80601,2,"Herrerafurt","RI","Holy See (Vatican City State)",2,1,"Medium"
29,"Male","Bachelor's","Divorced",85164,710,14441,"Personal","Unemployed",2,"Poor",0.257828552554541,64687,1,"South Austinhaven","HI","Niue",2,0,"Medium"
47,"Male","High School","Widowed",119747,613,26507,"Business","Self-employed",10,"Good",0.464924829888792,221402,2,"Rickymouth","CO","Sao Tome and Principe",1,0,"Medium"
27,"Non-binary","Bachelor's","Married",93728,727,27544,"Auto","Unemployed",11,"Poor",0.407184509422176,203446,1,"West Davidchester","AS","Singapore",2,1,"Low"
54,"Non-binary","PhD","Married",100908,764,27544,"Business","Employed",18,"Fair",0.240809218996796,250753,3,"East Adam","MH","Georgia",2,0,"Medium"
67,"Male","PhD","Widowed",69773,608,12657,"Business","Unemployed",18,"Good",0.46576018529692,107089,1,"East Anthony","ND","Guam",0,0,"Medium"
36,"Male","Bachelor's","Divorced",29868,635,12521,"Auto","Employed",17,"Excellent",0.350454133246252,240325,2,"Wendyshire","ND","Dominica",4,0,"Low"
36,"Female","Master's","Married",68776,612,47707,"Personal","Unemployed",11,"Fair",0.332396791046259,68491,0,"Port Christopher","NY","Brunei Darussalam",1,1,"Low"
54,"Female","Bachelor's","Married",98669,720,19464,"Business","Unemployed",2,"Poor",0.167904091491964,26571,0,"Smithview","IA","French Polynesia",1,0,"High"
19,"Non-binary","Master's","Single",112545,712,15503,"Home","Unemployed",7,"Poor",0.252172854016854,194154,0,"Ibarraport","NJ","Zimbabwe",4,0,"Low"
39,"Non-binary","PhD","Widowed",118717,647,10656,"Home","Self-employed",12,"Poor",0.18563450376431,168504,1,"Dennismouth","WY","Serbia",2,2,"Low"
48,"Male","Bachelor's","Single",69773,649,38575,"Home","Self-employed",3,"Fair",0.430090517573071,143440,3,"Kimstad","CT","Taiwan",0,0,"Medium"
64,"Male","Bachelor's","Single",52822,636,37391,"Business","Employed",12,"Excellent",0.498698763200907,159362,2,"Johnsonbury","WV","Pakistan",1,1,"Medium"
44,"Non-binary","PhD","Widowed",51280,750,22162,"Home","Employed",11,"Excellent",0.550130495034557,87579,3,"East Danielmouth","AS","Haiti",1,2,"Medium"
55,"Female","Bachelor's","Divorced",63915,699,10084,"Personal","Employed",7,"Good",0.362397446231961,159362,2,"Wilsonton","MH","San Marino",1,0,"High"
34,"Female","Master's","Widowed",67046,699,11753,"Personal","Unemployed",12,"Fair",0.319500175262379,90851,2,"Hinesberg","DE","Kazakhstan",0,2,"Low"
65,"Male","Master's","Divorced",106526,650,23161,"Auto","Employed",19,"Poor",0.544867396843896,98025,4,"Richardbury","ID","Armenia",0,0,"Low"
68,"Non-binary","Master's","Married",69773,700,23834,"Auto","Employed",1,"Excellent",0.168123708744042,147082,4,"Johnsonview","IL","Netherlands",2,0,"Low"
47,"Female","Bachelor's","Divorced",91691,699,42140,"Auto","Unemployed",7,"Fair",0.568474244522554,235362,2,"Andrewside","TX","Greece",1,0,"Medium"
20,"Male","Master's","Widowed",69773,692,16283,"Home","Self-employed",4,"Good",0.466075526140779,144758,3,"New Laurabury","MA","Somalia",1,1,"Low"
36,"Non-binary","Bachelor's","Widowed",37105,720,33259,"Home","Employed",7,"Fair",0.412777027635852,294048,2,"Yvonneland","NY","Brunei Darussalam",3,1,"Medium"
62,"Female","Bachelor's","Single",31063,793,27544,"Personal","Self-employed",7,"Good",0.143936100974125,226298,1,"South Darrell","VI","Latvia",2,1,"Low"
35,"Female","High School","Married",69773,699,9833,"Personal","Self-employed",17,"Fair",0.155495082054733,131120,2,"Cynthiashire","CO","Mexico",2,0,"High"
66,"Female","Bachelor's","Single",69773,699,23993,"Personal","Self-employed",19,"Poor",0.150792728571523,60925,2,"Thomasmouth","MP","French Southern Territories",2,2,"Low"
50,"Non-binary","Master's","Single",56108,796,27544,"Personal","Self-employed",4,"Excellent",0.111494703303079,97144,2,"Michelleland","CO","Kazakhstan",3,1,"High"
31,"Female","Bachelor's","Married",69625,636,15188,"Home","Unemployed",19,"Excellent",0.506634373491661,159362,0,"Davisport","NJ","Sao Tome and Principe",1,0,"Low"
38,"Non-binary","Master's","Divorced",82093,726,20454,"Home","Self-employed",5,"Good",0.190221958936545,39434,2,"East Brian","PW","South Africa",2,0,"High"
39,"Female","Master's","Widowed",100015,615,23114,"Business","Unemployed",14,"Poor",0.484642490520511,85309,0,"New Meganshire","NV","French Polynesia",3,0,"Low"
50,"Female","Master's","Divorced",96293,708,21552,"Auto","Employed",3,"Excellent",0.129394209722834,255942,4,"Port Amy","FM","Egypt",0,1,"Low"
49,"Non-binary","Bachelor's","Single",30680,699,24840,"Auto","Self-employed",5,"Excellent",0.243023798308884,101996,2,"Port Rebecca","CA","Svalbard & Jan Mayen Islands",3,1,"Low"
24,"Male","Bachelor's","Single",69773,627,27544,"Personal","Self-employed",12,"Fair",0.255696687514904,147499,3,"East Helenhaven","VT","French Southern Territories",4,2,"Low"
23,"Male","Bachelor's","Married",62541,680,27544,"Business","Employed",8,"Excellent",0.244546544798205,159362,4,"Port Joseph","RI","San Marino",2,2,"Medium"
38,"Non-binary","Bachelor's","Single",48069,670,17841,"Home","Unemployed",17,"Excellent",0.157519127140883,241550,2,"Jacksonmouth","WA","Jordan",0,2,"Low"
28,"Female","High School","Married",56895,699,27544,"Personal","Self-employed",14,"Poor",0.227617323964186,128403,2,"North Marcbury","WA","Turkey",1,1,"Low"
35,"Female","PhD","Married",72433,792,5747,"Business","Self-employed",4,"Good",0.327373934577553,112076,0,"Andreaborough","NC","Thailand",3,2,"Low"
50,"Non-binary","PhD","Divorced",69773,640,47751,"Auto","Self-employed",10,"Fair",0.343555167321726,159362,3,"Cynthiabury","DC","Zimbabwe",4,0,"Medium"
56,"Female","Master's","Single",69773,734,40516,"Auto","Self-employed",9,"Poor",0.378206874737255,203231,1,"New Zachary","IN","Swaziland",3,1,"Low"
22,"Non-binary","Master's","Widowed",65266,617,34746,"Home","Unemployed",18,"Poor",0.268944280628181,40215,4,"Taylormouth","ND","Botswana",1,1,"Low"
40,"Male","Master's","Widowed",98578,663,8747,"Auto","Self-employed",1,"Good",0.514670636860698,37396,0,"Jacobview","WV","Russian Federation",0,1,"Low"
39,"Male","High School","Married",90227,770,18079,"Business","Employed",3,"Poor",0.518758953700694,163838,1,"South Brianna","GU","Mali",0,1,"Low"
31,"Non-binary","High School","Divorced",107081,740,18101,"Business","Employed",5,"Poor",0.108793817126224,25157,2,"Gordonbury","AL","Ukraine",1,2,"Low"
45,"Female","High School","Widowed",82878,748,17023,"Auto","Self-employed",19,"Poor",0.58491125726242,192705,4,"Penamouth","NH","Ethiopia",4,1,"Low"
62,"Non-binary","Bachelor's","Widowed",46439,645,27544,"Auto","Employed",6,"Poor",0.443604125471908,277288,2,"East Kevinmouth","VI","Togo",2,2,"Low"
34,"Non-binary","High School","Widowed",44085,687,27544,"Home","Unemployed",9,"Poor",0.44893789146698,253262,2,"Lake Ashleyland","AR","Belize",0,1,"Low"
19,"Male","High School","Married",35817,731,44426,"Home","Unemployed",1,"Fair",0.505459746503681,20626,1,"East Triciatown","WI","Angola",0,2,"Low"
49,"Non-binary","Bachelor's","Married",54648,699,20427,"Personal","Unemployed",8,"Fair",0.121472994816934,276619,1,"West Mirandaborough","MA","Anguilla",4,0,"Medium"
36,"Female","High School","Married",65104,699,44260,"Home","Employed",2,"Excellent",0.337761725047993,135458,4,"Zacharyhaven","NM","Guatemala",2,2,"Low"
43,"Male","PhD","Married",109698,793,46500,"Personal","Self-employed",11,"Good",0.347851155439546,159076,2,"Tristanland","AZ","United States Minor Outlying Islands",1,1,"Medium"
23,"Male","Bachelor's","Single",28906,724,24532,"Business","Unemployed",3,"Poor",0.500613650535156,96640,2,"Lake Evelynstad","CA","Monaco",0,0,"Low"
22,"Male","Master's","Widowed",104766,764,16117,"Business","Unemployed",17,"Good",0.211525061214794,156630,3,"New Shannonberg","KY","Gambia",3,1,"Low"
41,"Female","Master's","Widowed",79556,742,5235,"Home","Employed",5,"Excellent",0.322356138956561,247857,0,"Onealfurt","WA","Romania",4,0,"Low"
57,"Male","Master's","Single",116102,629,31831,"Home","Employed",16,"Excellent",0.516362512745351,228018,4,"Smithborough","IA","Palestinian Territory",2,0,"Medium"
31,"Female","PhD","Widowed",105141,699,41006,"Auto","Self-employed",3,"Good",0.162774177929382,26499,3,"Traceyton","SD","Suriname",1,2,"Low"
58,"Non-binary","High School","Widowed",20947,776,38756,"Personal","Unemployed",0,"Good",0.218403224267514,91848,4,"North Jeff","MT","Burundi",2,1,"Low"
36,"Non-binary","PhD","Single",69773,660,11157,"Home","Self-employed",7,"Excellent",0.297577945186095,159362,2,"Diazton","WV","Guatemala",2,0,"Medium"
52,"Male","High School","Married",32094,634,17612,"Home","Self-employed",17,"Good",0.549456543892967,114375,2,"West Robert","IA","Singapore",2,0,"Medium"
22,"Female","High School","Single",67984,699,49459,"Business","Employed",12,"Fair",0.134829810277352,174044,3,"West Daniel","MS","Malawi",2,0,"Medium"
55,"Non-binary","Master's","Widowed",108177,735,23616,"Business","Employed",12,"Fair",0.335284356212671,165613,2,"Barneston","CA","Saint Pierre and Miquelon",1,2,"Medium"
44,"Female","High School","Divorced",30295,686,27544,"Home","Unemployed",19,"Good",0.252783310578511,159362,0,"East Ian","PW","Costa Rica",0,2,"Low"
41,"Female","PhD","Widowed",96591,722,7260,"Home","Employed",12,"Fair",0.584494809443368,102681,0,"New Shelby","KS","Lesotho",2,2,"Medium"
33,"Male","PhD","Single",69773,624,47874,"Personal","Employed",13,"Excellent",0.455208342573532,28057,1,"North Jodyside","NM","Brazil",2,1,"Low"
40,"Male","Master's","Married",83865,663,15896,"Auto","Unemployed",6,"Excellent",0.358704651007803,159362,3,"West Jeffrey","MT","India",0,2,"Low"
53,"Female","High School","Married",51236,718,31196,"Personal","Self-employed",3,"Poor",0.168630607353882,45029,1,"Ellenbury","AS","Uruguay",2,1,"Low"
18,"Non-binary","Master's","Single",69773,651,18653,"Home","Self-employed",16,"Good",0.492229950007739,226806,0,"Curtisville","PW","Mayotte",3,1,"High"
37,"Non-binary","High School","Divorced",42970,703,27544,"Personal","Employed",12,"Poor",0.358687273468886,159362,2,"East Jesse","PW","Finland",1,2,"Medium"
36,"Non-binary","PhD","Divorced",101863,688,31132,"Business","Employed",2,"Poor",0.219403113679809,149141,3,"Dunnhaven","MN","Saint Pierre and Miquelon",2,2,"Low"
67,"Male","Master's","Widowed",107366,655,20154,"Home","Employed",9,"Poor",0.416617867511961,108345,4,"New Valerie","GA","Monaco",4,1,"Low"
62,"Female","PhD","Widowed",101848,699,45635,"Home","Self-employed",7,"Poor",0.591653333113723,159362,2,"Payneville","NH","Kuwait",2,2,"High"
60,"Female","PhD","Married",74030,711,9459,"Personal","Unemployed",19,"Fair",0.160676888017826,96641,2,"Lake Daniel","PW","Argentina",0,2,"Low"
39,"Male","Master's","Divorced",56116,636,16578,"Personal","Employed",12,"Excellent",0.313107732268165,197835,1,"Johnnyberg","NY","South Africa",1,0,"Medium"
59,"Male","PhD","Single",103794,699,9288,"Auto","Unemployed",2,"Excellent",0.412109477731849,195205,2,"Williamsport","WV","Paraguay",2,1,"Low"
50,"Male","Bachelor's","Married",79300,697,26963,"Home","Employed",1,"Good",0.216722419253377,159362,2,"New Derekmouth","MH","Mozambique",0,1,"Low"
64,"Male","PhD","Single",101855,686,48584,"Auto","Self-employed",9,"Good",0.572524405950802,138039,3,"East Keith","MS","El Salvador",3,1,"Low"
40,"Male","PhD","Single",89535,624,12990,"Auto","Unemployed",6,"Good",0.117355071393356,48187,2,"South Haileyview","NC","Suriname",3,2,"Low"
18,"Non-binary","PhD","Divorced",107329,735,22694,"Home","Self-employed",1,"Poor",0.232809019850618,71327,4,"East Michael","MP","Netherlands Antilles",2,1,"Low"
42,"Non-binary","Master's","Widowed",61048,699,17631,"Business","Employed",19,"Excellent",0.266383746858608,252248,1,"Strongport","OH","Russian Federation",3,0,"Low"
39,"Non-binary","High School","Widowed",99622,720,23158,"Auto","Employed",6,"Good",0.41981392841733,65046,4,"New Ashley","MN","El Salvador",2,1,"Low"
67,"Male","PhD","Divorced",110896,689,11503,"Business","Self-employed",9,"Excellent",0.106251703430493,121360,0,"New Russellfurt","HI","Jersey",2,0,"Medium"
28,"Female","PhD","Single",64541,703,20017,"Auto","Self-employed",1,"Good",0.206311988320745,24856,4,"Lake Keithtown","MO","Suriname",1,1,"High"
53,"Non-binary","PhD","Single",26613,771,6982,"Auto","Employed",5,"Fair",0.107198286618431,56108,2,"Gouldbury","CO","Maldives",2,0,"Low"
40,"Male","Bachelor's","Divorced",69773,721,41599,"Auto","Unemployed",19,"Fair",0.363903794803899,234986,2,"South Amanda","HI","Iran",1,1,"Low"
31,"Female","PhD","Widowed",50885,669,18293,"Home","Unemployed",7,"Poor",0.258570034858802,99103,4,"Margaretchester","KY","Mayotte",3,2,"Low"
48,"Male","Master's","Divorced",107050,711,14382,"Business","Self-employed",3,"Excellent",0.502107966360215,142063,1,"New Janet","CT","Samoa",1,1,"Medium"
20,"Non-binary","PhD","Divorced",69773,713,19353,"Personal","Self-employed",7,"Good",0.554183082866786,253330,3,"Stephanieborough","OR","Bosnia and Herzegovina",2,1,"Medium"
20,"Non-binary","Master's","Widowed",91540,760,27544,"Business","Employed",16,"Poor",0.232628264225092,177884,2,"East Territown","NE","Wallis and Futuna",0,0,"Low"
22,"Male","PhD","Single",69773,632,27544,"Personal","Unemployed",1,"Excellent",0.126001222946093,83144,4,"Port Tylermouth","HI","Sweden",3,1,"Medium"
35,"Male","High School","Divorced",114877,699,46113,"Business","Unemployed",6,"Excellent",0.389906857140349,254153,0,"Port Andreamouth","WV","Luxembourg",1,1,"Medium"
36,"Female","Bachelor's","Divorced",44283,755,42326,"Personal","Self-employed",7,"Poor",0.116135308994674,228890,4,"Turnerchester","NV","Micronesia",0,2,"Low"
59,"Female","High School","Single",60385,743,30961,"Business","Self-employed",19,"Excellent",0.383779016995748,222830,4,"Greenport","WV","Azerbaijan",2,0,"Low"
28,"Male","Master's","Divorced",69773,618,27544,"Personal","Unemployed",14,"Poor",0.346111901342032,25885,3,"South Jeremy","SC","Myanmar",0,0,"Medium"
66,"Female","Master's","Divorced",47785,699,14137,"Auto","Employed",16,"Fair",0.369847066495022,147601,1,"South Maria","NM","Czech Republic",4,0,"Medium"
36,"Non-binary","Bachelor's","Single",69895,680,13132,"Business","Unemployed",18,"Poor",0.593281265042624,159362,2,"Heathermouth","ME","Turkey",0,0,"Low"
60,"Male","High School","Divorced",61559,623,9038,"Home","Unemployed",16,"Fair",0.530640775000279,159362,1,"New Kevin","OH","Guinea-Bissau",2,1,"Low"
63,"Female","High School","Single",40113,722,5044,"Personal","Employed",1,"Excellent",0.496244457510871,159493,3,"New Martinberg","OR","Cyprus",2,2,"Low"
43,"Female","Bachelor's","Single",29797,727,10640,"Business","Self-employed",14,"Excellent",0.509303063554464,89291,4,"Frankport","NE","Austria",3,0,"Low"
39,"Non-binary","Bachelor's","Divorced",31137,757,7326,"Personal","Unemployed",9,"Poor",0.441794267223045,68848,3,"North Nathantown","MN","Indonesia",1,2,"Medium"
62,"Female","PhD","Divorced",115923,726,37406,"Personal","Self-employed",17,"Good",0.28731087820961,154178,1,"West Elizabethside","MA","Peru",2,1,"High"
39,"Male","High School","Single",117661,763,8876,"Home","Unemployed",15,"Poor",0.565118423329168,159362,2,"New Brianshire","PW","Armenia",2,1,"Low"
22,"Female","High School","Widowed",69738,727,15974,"Auto","Self-employed",10,"Good",0.387483456819987,238717,1,"New Kathryn","OR","Norway",0,1,"Low"
59,"Female","Master's","Divorced",91035,699,44865,"Personal","Self-employed",5,"Poor",0.427505536582882,159362,2,"Kristinfort","AR","Algeria",1,0,"Medium"
37,"Non-binary","PhD","Divorced",76795,645,33454,"Personal","Self-employed",13,"Excellent",0.508511241522257,40258,4,"Andreaborough","NV","Bangladesh",3,0,"Low"
58,"Male","PhD","Single",69029,699,39742,"Auto","Unemployed",12,"Fair",0.369606846459649,159362,4,"Phillipsbury","AL","American Samoa",4,1,"Low"
47,"Female","PhD","Married",65463,710,27544,"Home","Unemployed",4,"Good",0.509355158428427,230368,4,"Anthonyside","NH","Ireland",4,2,"Low"
58,"Non-binary","Bachelor's","Single",69773,791,34903,"Auto","Self-employed",7,"Good",0.177489309355351,236635,3,"New Marisashire","NE","Namibia",0,0,"Low"
51,"Non-binary","Bachelor's","Married",40561,632,42722,"Personal","Unemployed",3,"Good",0.381899834289504,159362,2,"North Feliciaville","VA","Iran",0,2,"Low"
25,"Female","Bachelor's","Single",23159,634,27544,"Business","Employed",11,"Good",0.59340690202258,241024,3,"Stevensonborough","NV","Egypt",2,2,"Medium"
27,"Non-binary","High School","Widowed",61232,643,46522,"Business","Unemployed",6,"Fair",0.151099074628696,285561,2,"Villafurt","RI","Sao Tome and Principe",2,0,"Low"
36,"Female","Bachelor's","Single",108304,675,46461,"Auto","Self-employed",15,"Excellent",0.134004327197476,159362,0,"South Teresaburgh","IL","Japan",1,2,"Medium"
56,"Non-binary","Bachelor's","Widowed",69773,728,42333,"Home","Employed",17,"Good",0.345462911411355,159362,2,"Amandabury","NC","Australia",3,2,"Low"
34,"Female","High School","Widowed",118679,731,40823,"Auto","Employed",6,"Poor",0.353951632747764,63853,2,"North Jeremy","AS","Georgia",0,2,"Low"
65,"Male","Master's","Single",89126,643,38741,"Auto","Employed",0,"Excellent",0.13144915884075,50589,1,"New Julieside","AK","Martinique",4,0,"High"
34,"Female","PhD","Divorced",35198,718,27544,"Business","Unemployed",9,"Good",0.155828770514495,222837,2,"Port Matthew","NE","Panama",3,1,"Low"
66,"Non-binary","PhD","Widowed",104677,784,24588,"Home","Unemployed",9,"Fair",0.304836002188174,50584,4,"South Karen","NM","Finland",4,0,"Low"
30,"Non-binary","PhD","Single",69773,699,29559,"Home","Unemployed",10,"Poor",0.181094002949484,203837,0,"North Amber","NE","United States Virgin Islands",0,0,"Low"
59,"Female","Master's","Married",80047,697,42968,"Business","Employed",0,"Fair",0.36146303968464,159362,1,"North Theresaville","ID","Samoa",1,1,"Medium"
27,"Non-binary","Master's","Divorced",80523,604,13043,"Auto","Employed",15,"Excellent",0.112270248578029,201865,3,"North Jessicachester","WY","Andorra",4,1,"Low"
